"NAME","SOV0NAME","LONGITUDE","LATITUDE","TYPE","ADM1NAME","POP_MAX"
"Villum Research Station (VRS)","Greenland (Denmark)",-16.65,81.6,"Research_Station",NA,NA
"The Arctic Research Station (former Labytnangi Ecological Research Station)","Russia ",66.4,66.65,"Research_Station",NA,NA
"Orotuk Field Station","Russia",148.65,62.05,"Research_Station",NA,NA
"Igloolik Research Center ","Nunavut/Canada",-81.8,69.366667,"Research_Station",NA,NA
"Willem Barentsz Biological Station","Russia",80.533333,73.35,"Research_Station",NA,NA
"CEN Boniface River Field Station ","Canada ",-76.166667,57.75,"Research_Station",NA,NA
"Numto Park Station","Russia ",70.717853,63.480987,"Research_Station",NA,NA
"Khanymey","Russia",75.95,63.716667,"Research_Station",NA,NA
"Flashline Mars Arctic Research Station","Canada",-89.823063,75.430873,"Research_Station",NA,NA
"CEN Salluit Research Station","Canada ",-75.633333,62.2,"Research_Station",NA,NA
"Lammin-Suo Peatland Station","Russia",29.8,60.233333,"Research_Station",NA,NA
"Avachinsky Volcano Field Station","Russia",158.733333,53.25,"Research_Station",NA,NA
"CEN Whapmagoostui-Kuujjuarapik Research Station","Canada ",-77.75,55.266667,"Research_Station",NA,NA
"Litla-Skard ","Iceland ",-21.616667,64.716667,"Research_Station",NA,NA
"Kainuu Fisheries Research Station","Finland",27.5,64.4,"Research_Station",NA,NA
"Sudurnes Science and Learning Center","Iceland",-22.7,64.033333,"Research_Station",NA,NA
"Uapishka Research Station","Canada",-68.234306,51.469444,"Research_Station",NA,NA
"Nibio Svanhovd Research Station ","Norway ",30.05,69.45,"Research_Station",NA,NA
"CEN Clearwater Lake Research Station","Canada ",-74.45,56.333333,"Research_Station",NA,NA
"China Iceland Arctic  Observatory  CIAO","Iceland",-17.36695,65.707183,"Research_Station",NA,NA
"Polish Polar Station Hornsund","Svalbard/Poland",15.55,77,"Research_Station",NA,NA
"Kluane Lake Research Station","Canada ",-138.4,61.016667,"Research_Station",NA,NA
"DMI Geophysical Observatory Qaanaaq","Greenland/Denmark",-69.216667,77.466667,"Research_Station",NA,NA
"Khibiny Educational and Scientific Station ","Russia ",33.716667,67.633333,"Research_Station",NA,NA
"Arctic DTU Research Station Sisimiut","Greenland",-53.666667,66.916667,"Research_Station",NA,NA
"Rif Field Station","Iceland",-15.95,66.45,"Research_Station",NA,NA
"Härnösand","Sweden",17.934004,62.633997,"Populated_Place","Västernorrland",17016
"Tønsberg","Kingdom of Norway",10.421002,59.264001,"Populated_Place","Vestfold",38914
"Mikkeli","Finland",27.285004,61.689996,"Populated_Place","Southern Savonia",46550
"Borgarnes","Iceland",-21.862322,64.569503,"Populated_Place","Vesturland",1783
"Sand Point","United States",-160.497191,55.339709,"Populated_Place","Alaska",667
"Mekoryuk","United States",-166.189937,60.388647,"Populated_Place","Alaska",99
"Port Heiden","United States",-158.626892,56.949094,"Populated_Place","Alaska",102
"Perryville","United States",-159.151149,55.918614,"Populated_Place","Alaska",113
"Dillingham","United States",-158.480312,59.05656,"Populated_Place","Alaska",2488
"Goodnews Bay","United States",-161.58713,59.120993,"Populated_Place","Alaska",230
"Nyac","United States",-159.940481,61.004143,"Populated_Place","Alaska",100
"Tununak","United States",-165.255789,60.585487,"Populated_Place","Alaska",352
"Emmonak","United States",-164.522992,62.776981,"Populated_Place","Alaska",100
"Kaltag","United States",-158.721899,64.327196,"Populated_Place","Alaska",190
"Koyukuk","United States",-157.70085,64.880289,"Populated_Place","Alaska",101
"Kobuk","United States",-156.880977,66.907246,"Populated_Place","Alaska",151
"Selawik","United States",-160.009391,66.603879,"Populated_Place","Alaska",832
"Talkeetna","United States",-150.109427,62.323779,"Populated_Place","Alaska",1078
"Montana","United States",-150.072763,62.079685,"Populated_Place","Alaska",10
"Lake Minchumina","United States",-152.312187,63.882831,"Populated_Place","Alaska",32
"Gulkana","United States",-145.382196,62.271353,"Populated_Place","Alaska",119
"Eagle","United States",-141.199997,64.787995,"Populated_Place","Alaska",104
"Allakaket","United States",-152.6455,66.565483,"Populated_Place","Alaska",97
"Tanana","United States",-152.07879,65.171873,"Populated_Place","Alaska",308
"Enurmino","Russia",-171.816603,66.950008,"Populated_Place","Chukchi Autonomous Okrug",297
"Zvëzdnyj","Russia",-179.589979,70.956585,"Populated_Place","Chukchi Autonomous Okrug",10
"Severomorsk","Russia",33.423066,69.073057,"Populated_Place","Murmansk",53921
"Apatity","Russia",33.393042,67.573071,"Populated_Place","Murmansk",66907
"Polyarnyy","Russia",33.450247,69.205219,"Populated_Place","Murmansk",19200
"Kolpino","Russia",30.650005,59.730009,"Populated_Place","City of St. Petersburg",225801
"Shuya","Russia",41.364286,56.854345,"Populated_Place","Ivanovo",60705
"Kineshma","Russia",42.129976,57.469966,"Populated_Place","Ivanovo",92983
"Bakal","Russia",58.795884,54.945883,"Populated_Place","Chelyabinsk",26559
"Verkhniy Ufaley","Russia",60.2313,56.066279,"Populated_Place","Chelyabinsk",33879
"Kirovo-Chepetsk","Russia",50.044377,58.55437,"Populated_Place","Kirov",90252
"Krasnoturinsk","Russia",60.484773,59.794786,"Populated_Place","Sverdlovsk",64878
"Asbest","Russia",61.458047,57.023043,"Populated_Place","Sverdlovsk",81248
"Alapayevsk","Russia",61.691521,57.846507,"Populated_Place","Sverdlovsk",44000
"Krasnouralsk","Russia",60.051518,58.351515,"Populated_Place","Sverdlovsk",20571
"Severouralsk","Russia",59.961549,60.156521,"Populated_Place","Sverdlovsk",36138
"Nefteyugansk","Russia",72.702684,61.077653,"Populated_Place","Khanty-Mansiy",112632
"Petrovsk Zabaykalskiy","Russia",108.832675,51.282695,"Populated_Place","Chita",20889
"Zemlya Bunge","Russia",142.105011,74.898308,"Populated_Place","Sakha (Yakutia)",10
"Khorgo","Russia",113.630004,73.483304,"Populated_Place","Sakha (Yakutia)",10
"Put Lenina","Russia",107.799973,68.516631,"Populated_Place","Sakha (Yakutia)",298
"Vanino","Russia",140.242489,49.087326,"Populated_Place","Khabarovsk",18618
"Omchak","Russia",147.916697,61.633278,"Populated_Place","Maga Buryatdan",10
"Uglegorsk","Russia",142.033335,49.083346,"Populated_Place","Sakhalin",12669
"Solikamsk","Russia",56.749962,59.669987,"Populated_Place","Perm'",100812
"Kizel","Russia",57.634301,59.064365,"Populated_Place","Perm'",22135
"Pakhachi","Russia",169.049981,60.581585,"Populated_Place","Kamchatka",10
"Savonlinna","Finland",28.883343,61.866623,"Populated_Place","Southern Savonia",27353
"Selkirk","Canada",-96.883322,50.150026,"Populated_Place","Manitoba",9986
"Berens River","Canada",-97.033313,52.366557,"Populated_Place","Manitoba",892
"Pukatawagan","Canada",-101.316617,55.733276,"Populated_Place","Manitoba",431
"Gimli","Canada",-96.999981,50.633303,"Populated_Place","Manitoba",2623
"Island Lake","Canada",-94.766578,53.966588,"Populated_Place","Manitoba",10
"Stony Rapids","Canada",-105.833266,59.266575,"Populated_Place","Saskatchewan",152
"Hall Beach","Canada",-81.236083,68.767467,"Populated_Place","Nunavut",654
"Lutselke","Canada",-110.733329,62.400053,"Populated_Place","Northwest Territories",102
"Hay River","Canada",-115.700003,60.849993,"Populated_Place","Northwest Territories",3900
"Doline","Canada",-123.416664,65.183346,"Populated_Place","Northwest Territories",525
"Paulatuk","Canada",-123.983321,69.383322,"Populated_Place","Northwest Territories",294
"Kapuskasing","Canada",-82.433325,49.416685,"Populated_Place","Ontario",9240
"Geraldton","Canada",-86.96664,49.716641,"Populated_Place","Ontario",1290
"Big Beaver House","Canada",-89.883284,52.949984,"Populated_Place","Ontario",10
"Port-Menier","Canada",-64.347995,49.822578,"Populated_Place","Québec",263
"Natashquan","Canada",-61.810656,50.191341,"Populated_Place","Québec",722
"Eastmain","Canada",-78.516691,52.233335,"Populated_Place","Québec",335
"Schefferville","Canada",-66.816656,54.8,"Populated_Place","Québec",471
"Salluit","Canada",-75.659501,62.182599,"Populated_Place","Québec",106
"Amos","Canada",-78.116664,48.566634,"Populated_Place","Québec",10516
"St-Augustin","Canada",-58.646999,51.24231,"Populated_Place","Québec",3961
"Rouyn-Noranda","Canada",-79.033249,48.250012,"Populated_Place","Québec",24602
"La Sarre","Canada",-79.200034,48.800005,"Populated_Place","Québec",7206
"Deer Lake","Canada",-57.426919,49.1744,"Populated_Place","Newfoundland and Labrador",4163
"La Scie","Canada",-55.583,49.967013,"Populated_Place","Newfoundland and Labrador",817
"Hopedale","Canada",-60.216671,55.44996,"Populated_Place","Newfoundland and Labrador",442
"Happy Valley - Goose Bay","Canada",-60.299999,53.299988,"Populated_Place","Newfoundland and Labrador",7572
"Port Hope Simpson","Canada",-56.300011,52.533291,"Populated_Place","Newfoundland and Labrador",197
"Oymyakon","Russia",142.769768,63.421446,"Populated_Place","Sakha (Yakutia)",500
"Shishmaref","United States",-166.071889,66.256975,"Populated_Place","Alaska",254
"Atka","United States",-174.200489,52.19649,"Populated_Place","Alaska",61
"Nikolski","United States",-168.867688,52.938434,"Populated_Place","Alaska",18
"Karluk","United States",-154.455027,57.572286,"Populated_Place","Alaska",96
"False Pass","United States",-163.415023,54.851211,"Populated_Place","Alaska",35
"Kivalina","United States",-164.485903,67.731492,"Populated_Place","Alaska",374
"Newhalen","United States",-154.897197,59.720346,"Populated_Place","Alaska",160
"Pilot Point","United States",-157.569127,57.56456,"Populated_Place","Alaska",68
"King Salmon","United States",-156.661378,58.688703,"Populated_Place","Alaska",292
"Quinhagak","United States",-161.915786,59.749233,"Populated_Place","Alaska",250
"Aniak","United States",-159.522186,61.578708,"Populated_Place","Alaska",501
"Kotlit","United States",-163.553283,63.034588,"Populated_Place","Alaska",1002
"Unalakleet","United States",-160.788052,63.873426,"Populated_Place","Alaska",741
"Koyuk","United States",-161.157472,64.940269,"Populated_Place","Alaska",254
"McGrath","United States",-155.595785,62.956815,"Populated_Place","Alaska",138
"Hughes","United States",-154.254988,66.049184,"Populated_Place","Alaska",78
"Ambler","United States",-157.851409,67.086485,"Populated_Place","Alaska",258
"Wales","United States",-168.087503,65.609599,"Populated_Place","Alaska",99
"Wasilla","United States",-149.439442,61.581731,"Populated_Place","Alaska",8521
"Circle","United States",-144.06052,65.82589,"Populated_Place","Alaska",100
"Tanacross","United States",-143.346403,63.385703,"Populated_Place","Alaska",136
"Wiseman","United States",-150.107489,67.410471,"Populated_Place","Alaska",14
"Sauðárkrókur","Iceland",-19.638993,65.746412,"Populated_Place","Akrahreppur",2682
"Ålesund","Kingdom of Norway",6.388023,62.545419,"Populated_Place","MOre og Romsdal",47772
"Steinkjer","Kingdom of Norway",11.500011,64.01706,"Populated_Place","Nord-Trøndelag",11274
"Asino","Russia",86.162689,56.993122,"Populated_Place","Tomsk",27070
"Strezhevoy","Russia",77.577683,60.733152,"Populated_Place","Tomsk",44784
"Mukhomornoye","Russia",173.333337,66.417069,"Populated_Place","Chukchi Autonomous Okrug",100
"Beringovskiy","Russia",179.306667,63.065465,"Populated_Place","Chukchi Autonomous Okrug",1861
"Bilibino","Russia",166.333299,68.050406,"Populated_Place","Chukchi Autonomous Okrug",5757
"Egvekinot","Russia",-179.183723,66.322132,"Populated_Place","Chukchi Autonomous Okrug",2248
"Nikel","Russia",30.218817,69.412571,"Populated_Place","Murmansk",15866
"Monchegorsk","Russia",32.828735,67.929121,"Populated_Place","Murmansk",49868
"Kirovsk","Russia",33.668735,67.609089,"Populated_Place","Murmansk",29605
"Volkhov","Russia",32.338739,59.929093,"Populated_Place","Leningrad",45673
"Tikhvin","Russia",33.514378,59.644846,"Populated_Place","Leningrad",62075
"Svetogorsk","Russia",28.917656,61.101321,"Populated_Place","Leningrad",30115
"Luga","Russia",29.838995,58.736349,"Populated_Place","Leningrad",40114
"Segezha","Russia",34.324303,63.754776,"Populated_Place","Karelia",33354
"Vichuga","Russia",41.928748,57.219129,"Populated_Place","Ivanovo",39071
"Sharya","Russia",45.509356,58.379756,"Populated_Place","Kostroma",35532
"Buy","Russia",41.52438,58.484685,"Populated_Place","Kostroma",26486
"Bezhetsk","Russia",36.689998,57.764729,"Populated_Place","Tver'",34736
"Sokol","Russia",40.114388,59.46478,"Populated_Place","Vologda",42174
"Cherepovets","Russia",37.909975,59.140433,"Populated_Place","Vologda",311850
"Rybinsk","Russia",38.819997,58.050344,"Populated_Place","Yaroslavl'",216724
"Rostov","Russia",39.404303,57.189157,"Populated_Place","Yaroslavl'",33803
"Miass","Russia",60.094926,54.995414,"Populated_Place","Chelyabinsk",167500
"Kyshtym","Russia",60.559549,55.699997,"Populated_Place","Chelyabinsk",50911
"Varnek","Russia",60.063558,69.730148,"Populated_Place","Nenets",10
"Bugrino","Russia",49.304163,68.807879,"Populated_Place","Nenets",300
"Yamburg","Russia",74.925313,67.922117,"Populated_Place","Yamal-Nenets",48488
"Sosnogorsk","Russia",53.894323,63.59476,"Populated_Place","Komi",29343
"Sovetsk","Russia",48.958086,57.578461,"Populated_Place","Kirov",17869
"Slobodskoy","Russia",50.188037,58.718495,"Populated_Place","Kirov",48962
"Kirs","Russia",52.245173,59.313833,"Populated_Place","Kirov",11385
"Omutninsk","Russia",52.159183,58.658938,"Populated_Place","Kirov",32800
"Kotelnich","Russia",48.313733,58.304127,"Populated_Place","Kirov",28431
"Yoshkar Ola","Russia",47.874948,56.635392,"Populated_Place","Mariy-El",324406
"Kamensk Uralskiy","Russia",61.93502,56.42047,"Populated_Place","Sverdlovsk",182500
"Polevskoy","Russia",60.188047,56.443414,"Populated_Place","Sverdlovsk",65770
"Artemovskiy","Russia",61.869753,57.365192,"Populated_Place","Sverdlovsk",44689
"Nevyansk","Russia",60.214764,57.490249,"Populated_Place","Sverdlovsk",28170
"Verkhnyaya Salda","Russia",60.549782,58.050189,"Populated_Place","Sverdlovsk",48992
"Nizhnyaya Tura","Russia",59.798252,58.643641,"Populated_Place","Sverdlovsk",56084
"Karpinsk","Russia",60.009815,59.760162,"Populated_Place","Sverdlovsk",30807
"Ivdel","Russia",60.413253,60.693645,"Populated_Place","Sverdlovsk",19379
"Glazov","Russia",52.628767,58.123208,"Populated_Place","Udmurt",100676
"Peregrebnoye","Russia",65.085939,62.966995,"Populated_Place","Khanty-Mansiy",10
"Saranpaul","Russia",60.970015,64.250457,"Populated_Place","Khanty-Mansiy",2985
"Uray","Russia",64.754797,60.140139,"Populated_Place","Khanty-Mansiy",39878
"Laryak","Russia",80.25137,61.101192,"Populated_Place","Khanty-Mansiy",10
"Kogalym","Russia",74.494099,62.044622,"Populated_Place","Khanty-Mansiy",58192
"Megion","Russia",76.095345,61.060755,"Populated_Place","Khanty-Mansiy",48691
"Yessey","Russia",102.166622,68.483738,"Populated_Place","Evenk",10
"Ulkan","Russia",107.783333,55.900398,"Populated_Place","Irkutsk",10
"Kirensk","Russia",108.111943,57.785735,"Populated_Place","Irkutsk",13308
"Zheleznogorsk Ilimskiy","Russia",104.122678,56.576248,"Populated_Place","Irkutsk",28456
"Vikhorevka","Russia",101.242699,56.093099,"Populated_Place","Irkutsk",166
"Biryusinsk","Russia",97.814432,55.960653,"Populated_Place","Irkutsk",9583
"Kodinskiy","Russia",99.177657,58.698057,"Populated_Place","Krasnoyarsk",15670
"Artemovsk","Russia",93.435527,54.348736,"Populated_Place","Krasnoyarsk",4948
"Agapa","Russia",89.249994,71.450379,"Populated_Place","Taymyr",10
"Boyarka","Russia",97.500033,70.766984,"Populated_Place","Taymyr",35968
"Nordvik","Russia",111.510031,74.016502,"Populated_Place","Taymyr",0
"Chelyuskin","Russia",104.250009,77.716973,"Populated_Place","Taymyr",885
"Taksimo","Russia",114.889979,56.331534,"Populated_Place","Buryat",10359
"Nyukzha","Russia",121.613083,56.531212,"Populated_Place","Amur",10
"Nerchinsk","Russia",116.548586,52.008956,"Populated_Place","Chita",15360
"Shalaurova","Russia",143.183343,73.220374,"Populated_Place","Sakha (Yakutia)",10
"Logashkino","Russia",153.900001,70.85039,"Populated_Place","Sakha (Yakutia)",0
"Ust Kuyga","Russia",135.600033,70.017056,"Populated_Place","Sakha (Yakutia)",1517
"Verkhnevilyuysk","Russia",120.316728,63.4457,"Populated_Place","Sakha (Yakutia)",6341
"Vitim","Russia",112.557822,59.451499,"Populated_Place","Sakha (Yakutia)",3843
"Olyokminsk","Russia",120.392589,60.503192,"Populated_Place","Sakha (Yakutia)",10000
"Tunguskhaya","Russia",125.250019,64.900443,"Populated_Place","Sakha (Yakutia)",10
"Natara","Russia",123.9255,68.410616,"Populated_Place","Sakha (Yakutia)",10
"Zhilinda","Russia",114.000008,70.133689,"Populated_Place","Sakha (Yakutia)",10
"Tukchi","Russia",139.500002,57.366975,"Populated_Place","Khabarovsk",10
"Chegdomyn","Russia",133.024118,51.117796,"Populated_Place","Khabarovsk",14855
"Siglan","Russia",152.416578,59.033721,"Populated_Place","Maga Buryatdan",10
"Karamken","Russia",151.166628,60.20042,"Populated_Place","Maga Buryatdan",10
"Strelka","Russia",152.250179,61.866985,"Populated_Place","Maga Buryatdan",10
"Severo Kurilsk","Russia",156.085036,50.690483,"Populated_Place","Sakhalin",2422
"Poronaysk","Russia",143.085002,49.241554,"Populated_Place","Sakhalin",16677
"Makarov","Russia",142.800007,48.633736,"Populated_Place","Sakhalin",6663
"Dolinsk","Russia",142.800007,47.350429,"Populated_Place","Sakhalin",11989
"Kudymkar","Russia",54.633037,59.016177,"Populated_Place","Komi-Permyak",32423
"Krasnokamsk","Russia",55.744287,58.074736,"Populated_Place","Perm'",52689
"Chusovoy","Russia",57.81305,58.29343,"Populated_Place","Perm'",72113
"Gubakha","Russia",57.588722,58.869132,"Populated_Place","Perm'",31424
"Utkholok","Russia",157.233338,57.550401,"Populated_Place","Kamchatka",10
"Bol'sheretsk","Russia",156.359386,52.438981,"Populated_Place","Kamchatka",10
"Qasigiannguit","Denmark",-51.178519,68.81927,"Populated_Place","Qaasuitsup Kommunia",1341
"Shamattawa","Canada",-92.083279,55.850375,"Populated_Place","Manitoba",870
"Oxford House","Canada",-95.266599,54.950404,"Populated_Place","Manitoba",184
"Meadow Lake","Canada",-108.434736,54.130118,"Populated_Place","Saskatchewan",5882
"Hudson Bay","Canada",-102.383296,52.850429,"Populated_Place","Saskatchewan",2157
"Fort Chipewyan","Canada",-111.149996,58.717099,"Populated_Place","Alberta",3222
"Dawson Creek","Canada",-120.233266,55.766969,"Populated_Place","British Columbia",10802
"Dease Lake","Canada",-130.033288,58.450346,"Populated_Place","British Columbia",303
"Baker Lake","Canada",-96.016656,64.31699,"Populated_Place","Nunavut",1584
